iter	Passed	Remaining
0	1	141
1	2	133
2	3	128
3	4	118
4	6	118
5	7	119
6	8	117
7	10	116
8	11	115
9	12	113
10	13	111
11	15	110
12	16	108
13	17	107
14	18	105
15	19	103
16	20	102
17	22	101
18	23	99
19	24	98
20	25	97
21	27	95
22	28	94
23	29	93
24	30	92
25	31	90
26	33	89
27	34	88
28	35	87
29	36	86
30	38	85
31	39	84
32	41	83
33	42	81
34	43	80
35	44	79
36	45	78
37	47	76
38	48	75
39	49	74
40	50	73
41	51	70
42	52	69
43	53	68
44	55	67
45	56	65
46	57	64
47	58	63
48	59	62
49	61	61
50	62	59
51	63	58
52	64	57
53	66	56
54	66	54
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	74	47
61	75	46
62	76	45
63	78	43
64	79	42
65	80	41
66	81	40
67	83	39
68	84	37
69	85	36
70	86	35
71	87	34
72	88	32
73	90	31
74	91	30
75	92	29
76	93	28
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	101	20
83	102	19
84	103	18
85	105	17
86	106	15
87	107	14
88	108	13
89	110	12
90	111	11
91	113	9
92	114	8
93	115	7
94	116	6
95	118	4
96	119	3
97	120	2
98	123	1
99	124	0
