iter	Passed	Remaining
0	167	167104
1	168	84163
2	169	56452
3	171	42601
4	172	34290
5	173	28751
6	174	24792
7	175	21821
8	177	19593
9	179	17812
10	181	16290
11	182	15057
12	184	13980
13	185	13052
14	186	12251
15	187	11546
16	188	10925
17	190	10374
18	191	9881
19	193	9500
20	195	9097
21	196	8729
22	197	8391
23	198	8082
24	199	7799
25	201	7535
26	202	7291
27	203	7065
28	205	6865
29	207	6720
30	209	6536
31	210	6361
32	211	6197
33	212	6043
34	213	5898
35	215	5761
36	216	5631
37	217	5508
38	219	5396
39	220	5292
40	222	5207
41	223	5107
42	225	5010
43	226	4918
44	227	4829
45	228	4747
46	230	4666
47	231	4589
48	233	4525
49	264	5023
50	266	4951
51	267	4874
52	278	4978
53	280	4907
54	281	4834
55	282	4763
56	285	4720
57	286	4656
58	287	4591
59	289	4529
60	290	4468
61	291	4410
62	293	4359
63	294	4305
64	295	4252
65	296	4200
66	298	4155
67	300	4113
68	301	4066
69	302	4021
70	303	3975
71	305	3934
72	306	3892
73	307	3850
74	308	3810
75	310	3770
76	311	3732
77	314	3713
78	315	3677
79	316	3641
80	317	3606
81	319	3575
82	320	3536
83	321	3503
84	322	3471
85	323	3440
86	324	3409
87	326	3379
88	328	3360
89	329	3331
90	330	3303
91	331	3275
92	333	3249
93	334	3223
94	335	3197
95	336	3172
96	338	3146
97	339	3122
98	340	3097
99	342	3084
100	344	3062
101	345	3039
102	346	3020
103	348	2998
104	349	2977
105	350	2955
106	351	2935
107	352	2914
108	354	2894
109	356	2887
110	358	2870
111	360	2855
112	361	2838
113	362	2819
114	364	2801
115	365	2784
116	366	2766
117	367	2749
118	369	2732
119	372	2729
120	374	2720
121	375	2705
122	377	2689
123	378	2677
124	381	2669
125	382	2656
126	386	2654
127	389	2652
128	390	2637
129	391	2622
130	393	2611
131	395	2601
132	397	2589
133	402	2599
134	407	2609
135	408	2597
136	410	2583
137	411	2570
138	412	2556
139	416	2555
140	417	2543
141	418	2528
142	420	2518
143	421	2505
144	422	2493
145	424	2481
146	425	2468
147	426	2455
148	427	2444
149	431	2446
150	433	2435
151	434	2425
152	436	2413
153	437	2403
154	438	2392
155	440	2381
156	441	2370
157	442	2360
158	446	2359
159	447	2349
160	448	2337
161	449	2327
162	452	2321
163	453	2311
164	454	2300
165	456	2291
166	457	2282
167	461	2283
168	462	2274
169	463	2265
170	465	2256
171	466	2246
172	467	2236
173	469	2227
174	470	2217
175	471	2208
176	475	2212
177	477	2204
